Words,Language
comedematha,Mixed
sakat,Kannada
.,sym
Mulpa,Tulu
idi,Tulu
vonji,Tulu
nadu,Tulu
tuvondundu,Tulu
so,English
mast,Tulu
responsibly,English
act,English
malpod,Tulu
.,sym
Natakada,Kannada
name,English
dde,Tulu
plz,English
upload,English
it,English
.,sym
Nice,English
Vedio,English
Super,English
athend,Tulu
Anda,Tulu
card,Mixed
deppunath,Tulu
H,Tulu
deppunu,Tulu
Ponnu,Tulu
bari,Tulu
telthondu,Tulu
ullol,Tulu
.,sym
kure,Tulu
uttunda,Tulu
eddeye,Tulu
.,sym
Poppa,Tulu
thulu,Name
full,English
drama,English
plz,English
.,sym
Ale,Tulu
avlu,Tulu
kula,Tulu
popuniiiiii,Tulu
.,sym
Best,English
dialogue,English
being,English
Onje,Tulu
Table,English
du,Tulu
Onje,Tulu
Kaane,Tulu
da,Tulu
Mande,Tulu
ori,Tulu
Beela,Tulu
ori,Tulu
thindondu,Tulu
.,sym
avatthande,Tulu
Tulu,Name
base,Kannada
da,Tulu
padya,Tulu
.,sym
aayena,Tulu
pukuli,Tulu
kaarla,Location
d,Tulu
uamDuye,Tulu
.,sym
Avule,Tulu
olpana,Tulu
birkudu,Tulu
ipodu,Tulu
sari,Tulu
nadla,Tulu
maare,Tulu
.,sym
Yerandala,Tulu
umbena,Tulu
pukuli,Tulu
naded,Tulu
korle,Tulu
.,sym
lv,English
u,English
dodddaaa,Tulu
cute,English
.,sym
Maddaledarna,Tulu
pudar,Tulu
dade,Tulu
.,sym
Yenchi,Tulu
savuda,Tulu
comedy,English
.,sym
Guru,Name
chinddhi,Kannada
Director,Name
he,Kannada
.,sym
Comedy,English
baari,Tulu
shhoku,Tulu
aathmDu,Tulu
.,sym
Dala,Tulu
edde,Tulu
atji,Tulu
.,sym
adyaako,Kannada
mumchina,Kannada
flavour,English
idralli,Kannada
kaaNislilla,Kannada
aadru,Kannada
boLaar,Location
avarannu,Kannada
noDode,Kannada
oamdu,Kannada
aanamda,Kannada
.,sym
Parkat,Tulu
table,English
patond,Tulu
umbene,Tulu
saavda,Tulu
canteen,English
.,sym
Enchi,Tulu
savda,Tulu
comedy,English
mare,Tulu
.,sym
Super,English
chotu,Name
Anna,Kannada
.,sym
Chiku,Name
aawu,Tulu
hahahaha,English
.,sym
Baaari,Tulu
yedde,Tulu
ithnd,Tulu
movie,English
matherna,Tulu
acting,English
and,English
musicla,Mixed
super,English
aathnd,Tulu
.,sym
Next,English
part,English
unde,Tulu
.,sym
Waa,English
waa,English
bhagavathike,Tulu
very,English
nice,English
.,sym
Supari,Kannada
atth,Tulu
maruthi,Kannada
korthini,Tulu
.,sym
my,English
varanasi,Location
sa,English
hu,English
.,sym
E,Tulu
season,English
ayini,Tulu
padhle,Tulu
.,sym
aasene,Tulu
dukkogu,Tulu
mula,Kannada
.,sym
Lo,Kannada
hoodi,Kannada
baaba,Kannada
yaaro,Kannada
torisro,Kannada
adda,Kannada
beelana,Kannada
.,sym
yedde,Tulu
athndu,Tulu
Bust,English
of,English
luk,English
.,sym
dipak,Name
paalaDkana,Location
over,English
acting,English
jaasthi,Tulu
aaamD,Tulu
.,sym
Full,English
cast,English
name,English
padle,Tulu
.,sym
Sppr,English
anna,Kannada
jai,Name
tulu,Name
appe,Tulu
.,sym
Spr,English
acting,English
kalvana,Tulu
.,sym
Nikul,Tulu
matha,Tulu
ullaratha,Tulu
adion,Mixed
pleas,English
upload,English
.,sym
Baari,Tulu
Shok,Tulu
da,Tulu
Nataka,Kannada
Super,English
acting,English
.,sym
Akhila,Kannada
bharatha,Kannada
pukuli,Tulu
fans,English
.,sym
st,English
da,Tulu
doctor,English
compounder,English
.,sym
yenk,Tulu
undu,Tulu
part,English
mastt,Tulu
essta,Tulu
.,sym
Dayeg,Tulu
ajjigu,Tulu
makar,Tulu
manparu,Tulu
Paapa,Tulu
.,sym
thunagane,Tulu
mai,Tulu
irmena,Tulu
aapumDu,Tulu
.,sym
Niku,Tulu
boda,Tulu
maraya,Tulu
.,sym
viDiyo,English
thuvare,Tulu
dumbu,Tulu
enna,Tulu
oamji,Tulu
laik,English
.,sym
super,English
Comedy,English
full,English
movie,English
link,English
manpule,Tulu
.,sym
Ajji,Kannada
baree,Tulu
sokude,Tulu
paterver,Tulu
.,sym
Ee,Tulu
vedion,Mixed
tuvanaga,Tulu
romanchana,Kannada
appund,Tulu
.,sym
Nammala,Mixed
Vorkady,Location
dane,Tulu
team,English
support,English
malpule,Tulu
.,sym
Kattapa,Name
murder,English
daye,Tulu
.,sym
avve,Tulu
kannada,Name
progrm,English
d,Tulu
aathunda,Tulu
kalavide,Tulu
pidayi,Tulu
popunath,Tulu
judges,English
nakl,Tulu
pidae,Tulu
pothuver,Tulu
.,sym
Swami,Kannada
ajjaeere,Tulu
kapule,Tulu
.,sym
nice,English
comedyy,English
telthu,Tulu
telthu,Tulu
banji,Tulu
bene,Tulu
battindu,Tulu
mare,Tulu
.,sym
dipak,Name
sar,Name
nimma,Kannada
abhinaya,Kannada
uththama,Kannada
.,sym
Fim,English
name,English
chali,Tulu
att,English
boggi,Tulu
.,sym
Swami,Kannada
koragajja,Name
kapule,Tulu
yenk,Tulu
yapogla,Tulu
beri,Tulu
sahayadu,Tulu
uppule,Tulu
ajja,Kannada
.,sym
Full,English
movie,English
bodu,Tulu
paduvara,Tulu
.,sym
Waltar,Name
sir,Kannada
namasthe,Kannada
ck,Name
prasanth,Name
supar,English
.,sym
masth,Tulu
shok,Tulu
uamDu,Tulu
very,English
funny,English
.,sym
Camera,English
wrk,English
super,English
.,sym
Chaa,Tulu
parpi,Tulu
leka,Tulu
tojuvena,Tulu
nayi,Kannada
.,sym
Namma,Kannada
akkare,Kannada
song,English
panka,Tulu
pukuli,Tulu
maya,Kannada
tho,Tulu
.,sym
Yn,Tulu
yelya,Tulu
epunaga,Tulu
cassett,Tulu
kanath,Tulu
kenondithina,Tulu
nenapapund,Tulu
tq,English
.,sym
NAMMA,Kannada
BHASHE,Kannada
NAMMA,Kannada
HEMME,Kannada
JAI,Name
TULUNADU,Name
.,sym
Aathla,Tulu
jagrathe,Tulu
ijja,Tulu
maraya,Tulu
ainla,Tulu
miss,English
mnthonvera,Tulu
.,sym
Onthe,Tulu
dinat,Tulu
gottapundu,Tulu
Modina,Tulu
respect,English
.,sym
Aravend,Name
Thonaga,Tulu
Ambulance,English
Thoeyleakka,Tulu
Aapond,Tulu
.,sym
Super,English
next,English
episode,English
haki,Kannada
.,sym
thelth,Tulu
thelth,Tulu
banji,Tulu
bene,Tulu
aad,Tulu
kannd,Tulu
neer,Tulu
batthud,Tulu
superb,English
comedy,English
.,sym
Super,English
attundu,Tulu
eregu,Tulu
yedde,Tulu
partner,English
tikkuder,Tulu
partner,English
in,English
crime,English
avenu,Tulu
change,English
maltudu,Tulu
partner,English
in,English
acting,English
malpuga,Tulu
.,sym
Nikleg,Tulu
bethe,Tulu
yerla,Tulu
judge,English
tikdijera,Tulu
ayan,Tulu
deple,Tulu
marre,Tulu
marle,Tulu
vijayn,Name
nattunayan,Tulu
.,sym
Full,English
drama,English
yapa,Tulu
paduvar,Tulu
.,sym
Av,Tulu
ov,Tulu
mare,Tulu
minshaa,Kannada
.,sym
namg,Kannada
negaaDi,Kannada
negaaDi,Kannada
hoTTi,Kannada
nov,Kannada
shuru,Kannada
aaythu,Kannada
.,sym
DaakTar,English
glovs,English
paaDudujer,Tulu
.,sym
Materegla,Tulu
manas,Tulu
dinjina,Tulu
solmel,Tulu
.,sym
Yn,Tulu
toote,Tulu
aven,Tulu
enklna,Tulu
oorudu,Tulu
.,sym
Cycle,English
lakkad,Tulu
shimogad,Location
marunu,Tulu
.,sym
baari,Kannada
sokaathmD,Tulu
enna,Tulu
phevareT,English
kaamiDi,English
aakTar,English
ravi,Name
raamakumja,Name
.,sym
Sarai,Name
ramro,Name
git,Other
k,English
.,sym
idyaava,Kannada
baasheno,Kannada
maaraaya,Kannada
.,sym
l,English
u,English
ajji,Kannada
.,sym
Nama,Tulu
pukuli,Tulu
n,Tulu
balamangalad,Tulu
nadunda,Tulu
thikkanda,Tulu
.,sym
Full,English
movie,English
upload,English
mlpule,Tulu
.,sym
Jokleg,Tulu
vaccine,English
bega,Tulu
korpale,Tulu
.,sym
Inchina,Tulu
movie,English
daaye,Tulu
hit,English
ayiji,Tulu
Please,English
upload,English
Amber,Tulu
Carters,English
part,English
Shine,Name
sheytty,Name
.,sym
Telth,Tulu
telthd,Tulu
banji,Tulu
bene,Tulu
aand,Tulu
.,sym
sar,English
kannaDa,Kannada
dalli,Kannada
maaDi,Kannada
pls,English
.,sym
Anna,Kannada
undu,Tulu
film,English
ovu,Tulu
mare,Tulu
padle,Tulu
.,sym
Sorry,English
bro,English
ninna,Tulu
pukuli,Tulu
nardh,Tulu
koreg,Tulu
ayiji,Tulu
Pukuli,Tulu
is,English
coming,English
soon,English
.,sym
Karnatakod,Location
inchina,Tulu
actor,Name
ullara,Tulu
panpunav,Tulu
nank,Tulu
hemme,Kannada
.,sym
Long,English
time,English
episode,English
barad,Tulu
good,English
all,English
comedy,English
actors,English
good,English
team,English
Jai,Name
tulunad,Location
.,sym
bari,Tulu
yedde,Tulu
undu,Tulu
.,sym
Tulu,Name
baarandinaaye,Tulu
judge,English
dada,Tulu
malpve,Tulu
.,sym
Oula,Tulu
thuvare,Tulu
ejjinda,Tulu
au,Tulu
.,sym
Embyag,Tulu
like,English
comment,English
poora,Tulu
tuluvernane,Tulu
jaaasty,Tulu
undodaa,Tulu
.,sym
Swami,Kannada
Ajja,Kannada
Ere,Tulu
Kapule,Tulu
.,sym
Daada,Tulu
niklena,Tulu
poora,Tulu
la,Tulu
copyright,English
avondundu,Tulu
comedy,English
scenen,Mixed
poora,Tulu
trollg,Mixed
use,English
malpulekane,Tulu
ijji,Tulu
.,sym
SATYA,Kannada
DAIVA,Tulu
DHARMA,Kannada
DAIVA,Tulu
KORAGAJJA,Name
SWAMI,Kannada
KAAPULE,Tulu
.,sym
Super,English
nataka,Kannada
ye,Tulu
undu,Tulu
.,sym
Yerandala,Tulu
mena,Tulu
pukuli,Tulu
nadle,Tulu
.,sym
I,English
miss,English
my,English
Dodda,Tulu
U,English
.,sym
Embena,Tulu
maya,Tulu
aathina,Tulu
pukulin,Tulu
olu,Tulu
nadunu,Tulu
marre,Tulu
u,English
d,English
.,sym
Erna,Tulu
jigiri,Tulu
dosth,Tulu
mast,Tulu
masthani,Tulu
ora,Tulu
thumbugaye,Tulu
what,English
a,English
dioloage,English
.,sym
Super,English
comedy,English
Please,English
send,English
me,English
the,English
link,English
of,English
Chimpus,Name
episodeda,Mixed
Making,English
superb,English
athnd,Tulu
.,sym
Edde,Tulu
undu,Tulu
trailer,English
All,English
the,English
best,English
.,sym
Boda,Tulu
pukuli,Tulu
korka,Tulu
maraya,Tulu
eth,Tulu
bodu,Tulu
pukuli,Tulu
Nik,Tulu
hahahaha,English
pukuli,Tulu
pukuli,Tulu
.,sym
Yenchi,Tulu
saavda,Tulu
comedy,English
.,sym
Madime,Tulu
ash,Tulu
tappu,Kannada
maltar,Tulu
.,sym
Umbena,Tulu
pukuli,Tulu
bayankara,Kannada
famous,English
ande,Tulu
.,sym
Appu,Name
boss,English
fance,English
ikkada,Kannada
.,sym
Cha,Tulu
parka,Tulu
thandodha,Tulu
ne,Tulu
drama,English
super,English
drama,English
.,sym
pokkade,Tulu
gobbe,Tulu
paaduni,Tulu
comedy,English
iji,Tulu
.,sym
eDDe,Tulu
bakeT,Tulu
giraakiLu,Tulu
mare,Tulu
.,sym
Vatrasi,Tulu
onji,Tulu
serial,English
malpunu,Tulu
.,sym
Masthu,Tulu
yedde,Tulu
klsa,Kannada
mlthar,Tulu
.,sym
Yancha,Tulu
undh,Tulu
songye,Mixed
.,sym
Joor,Tulu
bane,Tulu
aapunde,Tulu
Walter,Name
sir,English
.,sym
Tappu,Kannada
yerenala,Tulu
att,Tulu
tappu,Kannada
gudde,Kannada
da,Kannada
.,sym
No,English
Comedian,English
Bangadi,Tulu
.,sym
Super,English
rakshita,Name
akka,Kannada
.,sym
devara,Kannada
nambike,Kannada
gimth,Kannada
karaavaLi,Kannada
yalli,Kannada
daivanambike,Kannada
ye,Kannada
hechchu,Kannada
janapriya,Kannada
vaadaddu,Kannada
.,sym
full,English
video,English
ijje,Tulu
bro,English
.,sym
soo,English
sweet,English
online,English
classda,Mixed
topicdh,Mixed
onjji,Tulu
videon,Mixed
manple,Tulu
I,English
want,English
to,English
c,English
you,English
as,English
kid,English
.,sym
Tulu,Name
Movie,English
Mujhe,Other
Acha,Other
lagta,Other
Ha,Other
My,English
name,English
is,English
Annappa,Name
Full,English
movie,English
upload,English
kijiye,Other
.,sym
Niglena,Tulu
comedyda,Mixed
videon,Mixed
thuvareg,Tulu
masth,Tulu
kushi,Kannada
apundu,Tulu
.,sym
Bari,Tulu
comedyye,Mixed
undu,Tulu
.,sym
App,English
yepa,Tulu
barpunaa,Tulu
.,sym
Beautiful,English
Ajja,Kannada
na,Tulu
karnikada,Tulu
bagge,Tulu
thojayina,Tulu
onji,Tulu
yedde,Tulu
film,English
Acting,English
music,English
everything,English
was,English
brilliant,English
.,sym
Super,English
ajji,Kannada
papa,Tulu
.,sym
Kudroli,Location
ganesh,Name
n,Tulu
leppule,Tulu
marree,Tulu
.,sym
Yedde,Tulu
movie,English
inchina,Tulu
movie,English
barondupodu,Tulu
namma,Kannada
tulu,Name
tu,Tulu
superb,English
movie,English
yedde,Tulu
story,English
purernala,Tulu
yedde,Tulu
athende,Tulu
.,sym
Yana,Tulu
channel,English
ne,Tulu
pramote,English
malpule,Tulu
mare,Tulu
yane,Tulu
karkala,Location
Bola,Tulu
alpadhaye,Tulu
gaming,English
channel,English
.,sym
Corona,English
apaga,Tulu
itthnda,Tulu
Corona,English
suvarna,Kannada
.,sym
eDDeDuppuga,Tulu
Draamada,Kannada
vedio,English
paadle,Tulu
avu,Tulu
aartsda,Tulu
top,English
drama,English
.,sym
Complaint,English
korthe,Tulu
tikkinda,Tulu
panpe,Tulu
.,sym
Charector,English
and,English
theme,English
olu,Tulu
tikkundu,Tulu
every,English
week,English
eregu,Tulu
maarayre,Tulu
very,English
very,English
nice,English
both,English
of,English
u,English
.,sym
Aadare,Kannada
nayibala,Kannada
donkeye,Kannada
.,sym
Modlu,Kannada
kannadakka,Kannada
mareyade,Kannada
kodro,Kannada
bolimakla,Kannada
amele,Kannada
tulu,Name
tullu,Name
Nimdu,Kannada
.,sym
Wow,English
wonderful,English
bagavather,Tulu
.,sym
Tulu,Name
gottitnaklenu,Tulu
paadle,Tulu
Englisugu,Mixed
kirmbel,Tulu
bai,Tulu
Niklena,Tulu
soddu,Tulu
yavu,Tulu
Niklena,Tulu
tulu,Name
cinemada,Mixed
leka,Tulu
kare,Tulu
onduji,Tulu
.,sym
Betha,Tulu
dala,Tulu
comedy,English
thikija,Tulu
moleg,Tulu
.,sym
Msthu,Tulu
super,English
ethundu,Tulu
.,sym
baari,Tulu
porlaathmD,Tulu
muji,Tulu
janathala,Tulu
eDDe,Tulu
mesej,English
korthar,Tulu
.,sym
Daiji,English
vs,English
namma,Kannada
kuDla,Location
.,sym
Soopr,English
so,English
cute,English
dodda,Tulu
love,English
u,English
.,sym
Namge,Kannada
thulu,Name
baralla,Kannada
sir,English
subtitlegalanna,Mixed
hakiddakke,Kannada
artha,English
aythu,English
.,sym
boring,English
comedy,English
chanagilla,Kannada
.,sym
poovappa,Name
n,Tulu
pee,Tulu
te,Tulu
nadod,Tulu
tat,English
was,English
ossum,English
.,sym
Masthead,English
laikund,Tulu
ethend,Tulu
.,sym
Kati,Other
sarai,Other
maya,Other
laune,Other
.,sym
Bolar,Location
sir,English
na,Tulu
super,English
comedy,English
.,sym
Web,English
series,English
yeet,Tulu
mall,English
eppu,Tulu
.,sym
niswartha,Kannada
seve,Kannada
Namma,Kannada
sainikerna,Tulu
nijavaadla,Tulu
dever,Tulu
Aklegh,Tulu
edde,Tulu
malpad,Tulu
.,sym
Anna,Kannada
Kannada,Name
and,English
Tulu,Name
eradu,Kannada
language,English
Maadi,Kannada
bro,English
superagirutte,Mixed
.,sym
Bhaari,Tulu
improvement,English
atand,Tulu
Rakshita,Name
.,sym
season,English
aath,Tulu
laikh,Tulu
ijji,Tulu
keep,English
it,English
up,English
.,sym
ov,Tulu
anna,Kannada
film,English
pudar,Tulu
dada,Tulu
.,sym
Comedy,English
super,English
undu,Tulu
but,English
comedy,English
da,Tulu
ottugu,Tulu
Urduigala,Kannada
bang,Tulu
azaan,Tulu
da,Tulu
avahelana,Kannada
dayeg,Kannada
bodu,Kannada
.,sym
Sokuda,Tulu
comedy,English
marre,Tulu
.,sym
Kudhkana,Kannada
madme,Tulu
full,English
movie,English
upload,English
malpule,Tulu
plzz,English
.,sym
ajji,Kannada
eer,Tulu
super,English
.,sym
Super,English
bolar,Location
anna,Kannada
.,sym
Kuku,Tulu
nina,Tulu
ammalth,Tulu
.,sym
Yeth,Tulu
gnateg,Tulu
und,Tulu
program,English
.,sym
Mast,Tulu
kushi,Kannada
apund,Tulu
manasat,Tulu
ethene,Tulu
bejara,Tulu
poora,Tulu
kammi,Tulu
apund,Tulu
Thanks,English
namma,Kannada
TV,English
.,sym
Super,English
kalavider,Tulu
yedde,Tulu
undu,Tulu
super,English
.,sym
Churu,Tulu
ponnana,Tulu
over,English
acting,English
.,sym
Swamy,Kannada
Koragajja,Name
It,English
s,English
original,English
story,English
swami,Kannada
yee,Tulu
koragajja,Name
.,sym
ainath,Tulu
kaup,Location
prashamsadakulna,Mixed
tudu,Tulu
kalpod,Tulu
.,sym
Edde,Tulu
ijji,Tulu
marre,Tulu
savu,Tulu
.,sym
Undu,Tulu
Dhaythe,Tulu
mare,Tulu
.,sym
Yedde,Tulu
aavad,Tulu
dina,Tulu
oriyad,Tulu
thulu,Name
movie,English
.,sym
Love,English
u,English
dodda,Tulu
lovely,English
dodda,Tulu
.,sym
Shokathnd,Tulu
Halli,Kannada
da,Tulu
scene,English
.,sym
Mast,Tulu
shok,Tulu
undu,Tulu
.,sym
Pukuli,Tulu
song,English
Mangalore,Location
baari,Tulu
famous,English
Next,English
time,English
pooki,Tulu
maaya,Kannada
Ko,Other
song,English
.,sym
Palav,Kannada
sala,Kannada
I,English
did,English
not,English
get,English
the,English
last,English
punch,English
.,sym
Deepak,Name
Rai,Name
paanaje,Kannada
.,sym
Enchina,Tulu
a,Tulu
avaste,Tulu
marree,Tulu
ck,English
or,English
attavar,Other
edde,Tulu
comedy,English
show,English
.,sym
Daaniya,Tulu
ayana,Tulu
punya,Kannada
pukuli,Tulu
mathra,Kannada
maya,Kannada
ayini,Tulu
.,sym
geeth,Other
dherai,Other
raamroo,Other
chh,Other
thar,Other
meksam,Other
koo,Other
saathamaa,Other
ek,Other
pukulee,Tulu
pani,Other
hunuparthyoo,Other
abhinay,Other
maa,Other
.,sym
Selfie,English
le,Other
le,Other
re,Other
.,sym
Bari,Tulu
porulda,Tulu
comdey,English
Aita,Tulu
ottug,Tulu
edde,Tulu
message,English
korter,Tulu
Appena,Tulu
visaya,Kannada
correct,Kannada
ittund,Tulu
All,English
the,English
best,English
.,sym
Hii,English
super,English
atundu,Tulu
.,sym
Mast,Tulu
telikeda,Tulu
Nataka,Kannada
mast,Tulu
edde,Tulu
niklena,Tulu
teamge,Tulu
Solmelu,Tulu
.,sym
Suraaj,Name
shetr,Name
eer,Tulu
manjeswaradaara,Location
wow,English
yanla,Tulu
alpadaale,Tulu
sir,English
er,Tulu
yenk,Tulu
masth,Tulu
esta,Tulu
sir,English
.,sym
Devadas,Name
kapikad,Location
na,Tulu
.,sym
Yenkleg,Tulu
bhejara,Tulu
ejji,Tulu
.,sym
Nepal,Location
d,Tulu
maya,Kannada
aathind,Tulu
tuluver,Tulu
nadyer,Tulu
great,English
tuluvas,Tulu
.,sym
Namma,Kannada
team,English
prashamsha,Kannada
Kaup,Location
.,sym
onji,Tulu
pookida,Tulu
kathe,Kannada
.,sym
wow,English
bari,Tulu
superbda,Mixed
acting,English
al,English
the,English
best,English
team,English
.,sym
ekre,Kannada
tulu,Name
movie,English
padle,Tulu
talkies,English
app,English
du,Kannada
.,sym
One,English
of,English
a,English
best,English
comedian,English
.,sym
Nagavalli,Name
byari,Tulu
bashe,Kannada
pateruna,Tulu
funny,English
.,sym
Full,English
movie,English
padle,Tulu
please,English
.,sym
Bvc,Tulu
Song,English
marre,Tulu
.,sym
Dhadha,Tulu
song,English
bro,English
ir,Tulu
ora,Tulu
kudlag,Location
bale,Tulu
ereg,Tulu
madal,Tulu
korka,Tulu
adirappada,Tulu
pandh,Tulu
.,sym
Nether,Tulu
chalane,Tulu
avondhu,Tulu
eji,Tulu
.,sym
Aye,Tulu
chaDDila,Tulu
paduje,Tulu
.,sym
Avv,Tulu
sanksarath,Kannada
samskara,Kannada
.,sym
Thoma,Tulu
thoma,Tulu
thoma,Tulu
thoma,Tulu
.,sym
sari,Tulu
nerle,Tulu
ajji,Kannada
.,sym
Baari,Tulu
shokda,Tulu
da,Tulu
kalavider,Kannada
jai,Name
aravind,Name
bolar,Location
.,sym
Dherai,Name
ramro,Name
geet,Other
pukuli,Tulu
pukuli,Tulu
.,sym
laik,Tulu
athd,Tulu
hero,English
n,Tulu
barit,Tulu
kullad,Tulu
comedy,English
.,sym
Hai,English
super,English
e,Tulu
olu,Tulu
uppunu,Tulu
.,sym
Mast,Tulu
yedde,Tulu
avondu,Tulu
undu,Tulu
E,Tulu
show,English
.,sym
A,Tulu
naidha,Tulu
magan,Tulu
showrdh,Mixed
deppule,Tulu
ijjinda,Tulu
bale,Tulu
telipalen,Tulu
tupujer,Tulu
.,sym
full,English
nataka,Kannada
paadle,Tulu
.,sym
ravi,Name
sir,English
eer,Tulu
yepala,Tulu
sooper,English
ye,Tulu
.,sym
NAVEEN,Name
SIR,Name
EER,Tulu
SUPPER,English
ALL,English
TEAM,English
COMEDY,English
VERRY,English
SUPPER,English
GOD,English
BLESS,English
YOU,English
.,sym
Babanna,Name
boobann,Name
nanala,Tulu
incchina,Tulu
comidy,English
malpodu,Tulu
plz,English
.,sym
Obeana,Tulu
pukuli,Tulu
song,English
bainkera,Tulu
hit,English
.,sym
Thank,English
you,English
for,English
uploading,English
bari,Tulu
gammath,Tulu
ethund,Tulu
.,sym
Gf,English
ko,Other
Nam,Other
Pukuli,Tulu
rakhdeko,Other
geet,Other
nai,Other
bt,English
love,English
this,English
song,English
.,sym
Supper,English
anna,Kannada
ajjin,Tulu
inchane,English
patherpavonduppule,Tulu
.,sym
Sonte,Tulu
d,Tulu
Bonte,Tulu
.,sym
chimdi,Kannada
biDu,Kannada
bro,Name
.,sym
aakaas,Name
r,Other
pujaakoo,Other
sutingamaa,Other
bhayoo,Other
yasthoo,Other
.,sym
Astagfirullah,Name
pallill,Other
nataka,Kannada
akrema,Other
.,sym
OH,English
MY,English
GOD,English
lekkard,Tulu
jasthi,Kannada
over,English
acting,English
.,sym
Friends,English
circle,English
jokes,English
malpver,Tulu
alpa,Tulu
same,English
understanding,English
dakul,Tulu
ipver,Tulu
.,sym
bega,Kannada
aploD,English
malpule,Tulu
maarre,Tulu
vaiTimg,English
malthomdulla,Tulu
baari,Kannada
porlumDu,Tulu
thhyaamks,English
ave,Tulu
aravimdre,Name
.,sym
Awesome,English
concept,English
purakana,Tulu
act,English
superadh,Mixed
athnd,Tulu
.,sym
Super,English
Naku,Kannada
naku,Kannada
shusthagogithu,Kannada
super,English
.,sym
Kapikad,Location
sir,English
padil,Location
vamanjoor,Location
nikulu,Tulu
yapala,Tulu
ottige,Tulu
ethudu,Tulu
thulunad,Location
da,Tulu
mathernla,Tulu
thelipavondu,Tulu
epodu,Tulu
.,sym
Obba,Tulu
devere,Tulu
baari,Tulu
shoku,Tulu
mare,Tulu
Telthud,Tulu
telthud,Tulu
banji,Tulu
bene,Tulu
.,sym
Super,English
masth,Tulu
shok,Tulu
Athnd,Tulu
comedy,English
.,sym
Program,English
ardha,Kannada
gantedala,Tulu
ijji,Tulu
.,sym
Team,English
vaishnavi,Name
d,Tulu
kalwa,Tulu
acting,English
malthnar,Tulu
ippodu,Tulu
.,sym
Navin,Name
D,English
padil,Location
ippodithnd,Tulu
bullna,Tulu
acting,English
naveen,Name
ge,Tulu
shok,English
thojun,Tulu
.,sym
Bayamma,Name
Bari,Tulu
edde,Tulu
acting,English
malther,Tulu
nice,English
comedy,English
.,sym
Full,English
ithnda,Tulu
padle,Tulu
plz,Tulu
.,sym
Aaa,Tulu
makkar,Tulu
karta,Other
hai,English
na,Other
Mai,Other
tera,Other
udal,Tulu
jeet,Other
gaya,Other
.,sym
masth,Tulu
eDDe,Tulu
Aatundu,Tulu
comedy,English
.,sym
full,English
moive,English
padle,Tulu
.,sym
Typical,English
kudlada,Tulu
gaandasu,Kannada
.,sym
kabaDDi,Kannada
nanna,Kannada
devaru,Kannada
.,sym
baari,Tulu
eDDe,Tulu
philm,English
iamchina,Tulu
philm,English
namma,Kannada
appe,Tulu
bhaashheD,Tulu
naanaath,Tulu
baraD,Tulu
.,sym
